student_id,program,education_level,academic_year,place_type,course,absence_status,discipline,module,exam_type,grade_10,difficulty_avg_score,std_deviation,students_responsed_ratio,exam_type_prev,grade_prev,avg_grade_prev,min_prev,max_prev,target_grade,target_type
423,Прикладной анализ данных и искусственный интеллект,Бакалавриат,2023,Коммерческие,2,invalid,Математический анализ 2,2,Пересдача по уважительной причине,0,4.7407,0.67179,0.8852459016393442,Первая сдача,0.0,1.9,0.0,6.0,0.0,Пересдача
423,Прикладной анализ данных и искусственный интеллект,Бакалавриат,2023,Коммерческие,2,invalid,Дифференциальные уравнения,2,Пересдача,0,3.9808,0.7964,0.8524590163934426,Первая сдача,0.0,1.5833333333333333,0.0,6.0,0.0,Пересдача
423,Прикладной анализ данных и искусственный интеллект,Бакалавриат,2023,Коммерческие,2,invalid,Современные информационные технологии в бизнесе,2,Пересдача,3,,,,Первая сдача,3.0,1.2666666666666666,0.0,6.0,3.0,Пересдача с комиссией
427,Прикладная математика и информатика,Бакалавриат,2023,Бюджетные,4,\N,Правовая грамотность,2,Первая сдача,10,3.5294,1.24228,0.8095238095238095,,,8.4,6.0,10.0,10.0,Первая сдача
427,Прикладная математика и информатика,Бакалавриат,2023,Бюджетные,4,\N,Анализ изображений,3,Первая сдача,10,4.1818,0.93597,0.6875,,,8.857142857142858,6.0,10.0,10.0,Первая сдача
428,Прикладная математика и информатика,Бакалавриат,2023,Бюджетные,4,\N,Компьютерная графика,2,Первая сдача,2,4.5833,0.7592,0.75,,,7.5,7.0,8.0,4.0,Пересдача
428,Прикладная математика и информатика,Бакалавриат,2023,Бюджетные,4,\N,Правовая грамотность,2,Первая сдача,8,3.5294,1.24228,0.8095238095238095,,,6.25,2.0,8.0,8.0,Первая сдача
429,Прикладная математика и информатика,Бакалавриат,2023,Без вступительных испытаний,4,\N,Компьютерная графика,2,Первая сдача,3,4.5833,0.7592,0.75,,,6.5,5.0,8.0,6.0,Пересдача
429,Прикладная математика и информатика,Бакалавриат,2023,Без вступительных испытаний,4,\N,Правовая грамотность,2,Первая сдача,9,3.5294,1.24228,0.8095238095238095,,,6.2,3.0,8.0,9.0,Первая сдача
429,Прикладная математика и информатика,Бакалавриат,2023,Без вступительных испытаний,4,\N,Анализ изображений,3,Первая сдача,9,4.1818,0.93597,0.6875,,,6.875,3.0,9.0,9.0,Первая сдача
432,Прикладная математика и информатика,Бакалавриат,2023,Коммерческие,1,\N,Дискретная математика,1,Первая сдача,0,3.75,0.79844,0.851063829787234,,,9.0,9.0,9.0,0.0,Первая сдача
432,Прикладная математика и информатика,Бакалавриат,2023,Коммерческие,1,\N,Алгебра,2,Первая сдача,1,4.2308,0.86117,0.8863636363636364,,,6.0,0.0,9.0,0.0,Пересдача
435,Прикладная математика и информатика,Бакалавриат,2023,Коммерческие,1,\N,Алгебра,2,Первая сдача,3,4.2308,0.86117,0.8863636363636364,,,9.0,9.0,9.0,6.0,Пересдача
436,Прикладная математика и информатика,Бакалавриат,2023,Бюджетные,1,\N,Алгебра,2,Первая сдача,3,4.2308,0.86117,0.8863636363636364,,,9.0,9.0,9.0,0.0,Пересдача
436,Прикладная математика и информатика,Бакалавриат,2023,Бюджетные,1,valid,Алгебра,2,Пересдача,0,4.2308,0.86117,0.8863636363636364,Первая сдача,3.0,6.75,3.0,9.0,0.0,Пересдача
437,Прикладная математика и информатика,Бакалавриат,2023,Коммерческие,1,\N,Дискретная математика,1,Первая сдача,7,3.75,0.79844,0.851063829787234,,,9.0,9.0,9.0,7.0,Первая сдача
437,Прикладная математика и информатика,Бакалавриат,2023,Коммерческие,1,\N,Алгоритмы и структуры данных,2,Первая сдача,0,3.9268,0.83783,0.9111111111111111,,,8.0,7.0,9.0,0.0,Пересдача
437,Прикладная математика и информатика,Бакалавриат,2023,Коммерческие,1,\N,Математический анализ 1,2,Первая сдача,2,4.6154,0.70221,0.8666666666666667,,,6.571428571428571,0.0,9.0,5.0,Пересдача
437,Прикладная математика и информатика,Бакалавриат,2023,Коммерческие,1,\N,Основы и методология программирования,2,Первая сдача,6,3.6667,1.18394,0.8666666666666667,,,6.0,0.0,9.0,0.0,Первая сдача
437,Прикладная математика и информатика,Бакалавриат,2023,Коммерческие,1,\N,Алгоритмы и структуры данных,2,Пересдача,0,3.9268,0.83783,0.9111111111111111,Первая сдача,0.0,5.909090909090909,0.0,9.0,0.0,Пересдача с комиссией
438,Прикладная математика и информатика,Бакалавриат,2023,Бюджетные,1,\N,Дискретная математика,1,Первая сдача,0,3.75,0.79844,0.851063829787234,,,10.0,10.0,10.0,0.0,Первая сдача
438,Прикладная математика и информатика,Бакалавриат,2023,Бюджетные,1,invalid,Алгебра,2,Первая сдача,0,4.2308,0.86117,0.8863636363636364,,,6.666666666666667,0.0,10.0,0.0,Пересдача
439,Прикладной анализ данных и искусственный интеллект,Бакалавриат,2023,Коммерческие,1,invalid,Дискретная математика,1,Первая сдача,0,3.8182,0.66308,0.9322033898305084,,,9.0,9.0,9.0,0.0,Пересдача
439,Прикладной анализ данных и искусственный интеллект,Бакалавриат,2023,Коммерческие,1,invalid,Дискретная математика,1,Пересдача,0,3.8182,0.66308,0.9322033898305084,Первая сдача,0.0,7.0,0.0,10.0,0.0,Пересдача
439,Прикладной анализ данных и искусственный интеллект,Бакалавриат,2023,Коммерческие,1,invalid,Дискретная математика,1,Пересдача,0,3.8182,0.66308,0.9322033898305084,Пересдача,0.0,5.6,0.0,10.0,0.0,Пересдача
439,Прикладной анализ данных и искусственный интеллект,Бакалавриат,2023,Коммерческие,1,invalid,Дискретная математика,1,Пересдача,0,3.8182,0.66308,0.9322033898305084,Пересдача,0.0,4.666666666666667,0.0,10.0,0.0,Первая сдача
439,Прикладной анализ данных и искусственный интеллект,Бакалавриат,2023,Коммерческие,1,\N,Алгебра,2,Первая сдача,0,4.3261,0.69327,0.7666666666666667,,,4.0,0.0,10.0,0.0,Пересдача
439,Прикладной анализ данных и искусственный интеллект,Бакалавриат,2023,Коммерческие,1,\N,Алгоритмы и структуры данных,2,Первая сдача,0,3.9362,0.90869,0.7833333333333333,,,3.5,0.0,10.0,0.0,Пересдача
439,Прикладной анализ данных и искусственный интеллект,Бакалавриат,2023,Коммерческие,1,invalid,Дискретная математика,2,Первая сдача,0,3.8958,0.96263,0.8,Пересдача,0.0,3.111111111111111,0.0,10.0,0.0,Пересдача
